Date,Topic,Difficulty,Score,Total,Accuracy %,Mistakes Count,Missed Questions Summary
2026-09-26 12:54 AM,Spelling,1 - Easy,10,10,100%,0,
2026-09-26 12:52 AM,Spelling,2 - Medium,9,10,90%,1,"Choose the correct spelling of the plural of 'baby': [Selected: babbies, Correct: babies]"
2026-09-25 07:47 PM,Maths ICAS Revision,2 - Medium,8,10,80%,2,"A large rectangular box has a length of $30\text{ cm}$, a width of $20\text{ cm}$, and a height of $10\text{ cm}$. Small cubic wooden blocks with side lengths of $10\text{ cm}$ are packed tightly inside with no gaps. How many small cubic blocks can fit completely inside the box? [Selected: C. 8, Correct: B. 6]; A pointer starts facing North. It makes three quarter-turns clockwise, and then one quarter-turn anticlockwise. Which diagram (A, B, C, or D) shows the final direction of the pointer? [Selected: B, Correct: C]"
2026-09-24 06:05 PM,Spelling,2 - Medium,10,10,100%,0,
2026-09-21 09:23 PM,Maths ICAS Revision,3 - Hard,1,10,10%,9,"A rectangular prism (box) has a length of $5\text{ cm}$, a width of $3\text{ cm}$, and a height of $4\text{ cm}$. How many small identical cubes of side length $1\text{ cm}$ are needed to completely fill this box without any gaps? [Selected: Skipped, Correct: C. $60$ cubes]; What is the perimeter of the shaded shape drawn on the $1\text{ cm}$ square grid? [Selected: Skipped, Correct: B. $28\text{ cm}$]; Solve the missing value in the number sentence: $7 \times (15 - 9) + \Box = 65$ [Selected: Skipped, Correct: B. $23$]; Study the partial calendar for the month of October below. If today is Tuesday, October 14, what date will it be exactly $2$ weeks and $3$ days later? [Selected: Skipped, Correct: C. November 1]; A water tank contains $1250\text{ litres}$ of water. If $3\text{ hectolitres}$ and $45\text{ litres}$ are used for gardening, how many litres of water are left in the tank? (Note: $1\text{ hectolitre} = 100\text{ litres}$) [Selected: Skipped, Correct: A. $905\text{ litres}$]; A triangular prism has how many edges and vertices in total? [Selected: Skipped, Correct: B. $9$ edges and $6$ vertices]; Which fraction is exactly halfway between $\frac{1}{4}$ and $\frac{3}{4}$? [Selected: Skipped, Correct: B. $\frac{1}{2}$]; A robot is facing North. It performs the following movement sequence: Turns a quarter-turn clockwise, moves forward $4\text{ metres}$, turns a half-turn (180 degrees), and moves forward $2\text{ metres}$. What direction is the robot facing now? [Selected: Skipped, Correct: D. West]; Study the growing number pattern represented by dot arrays below. How many dots will be in Figure 5? [Selected: Skipped, Correct: C. $15$]"
2026-09-21 06:27 AM,Fractions,2 - Medium,9,10,90%,1,"Which fraction is smaller: 1/4 or 1/8? (Hint: Imagine sharing a pizza equally among 4 people versus 8 people. Which slice is smaller?) [Selected: They are equal, Correct: 1/8]"
2026-09-20 07:12 AM,Maths ICAS Revision,1 - Easy,9,10,90%,1,"Each grid square is $1\text{ unit}$ by $1\text{ unit}$. What is the perimeter of this shaded L-shape? [Selected: B. $8\text{ units}$, Correct: C. $10\text{ units}$]"
2026-09-18 06:46 AM,Fractions,2 - Medium,10,10,100%,0,
2026-09-18 06:36 AM,Maths ICAS Revision,1 - Easy,9,10,90%,1,"Each grid square is 1 unit by 1 unit. What is the perimeter of the shaded rectangle? [Selected: C. 14 units, Correct: D. 16 units]"
2026-09-15 06:30 AM,Maths ICAS Prep,1 - Easy,10,10,100%,0,
2026-09-15 06:26 AM,Maths ICAS Prep,1 - Easy,9,10,90%,1,"Ben read 5 pages on Monday, 3 pages on Tuesday, and 4 pages on Wednesday. How many pages did Ben read altogether? [Selected: 13, Correct: 12]"
